coursename,url
Issues in International Development Studies (Pg) A18/19,https://ble.soas.ac.uk/course/view.php?id=13516
Issues in the Theory and Practice of Contemporary Politics (Ug) A18/19,https://ble.soas.ac.uk/course/view.php?id=13596
Law and International Society (Ug) A18/19,https://ble.soas.ac.uk/course/view.php?id=13592
Quantitative Methods For Business and Economics (Ug) A18/19,https://ble.soas.ac.uk/course/view.php?id=13594
Remedial Grammar Class (Pg) A18/19,https://ble.soas.ac.uk/course/view.php?id=13518
Research Methods A18/19,https://ble.soas.ac.uk/course/view.php?id=13524
Social Sciences - Term 1 A18/19,https://ble.soas.ac.uk/course/view.php?id=13510
Social Sciences Term 2 A18/19,https://ble.soas.ac.uk/course/view.php?id=13511
Social Sciences Term 3 A18/19,https://ble.soas.ac.uk/course/view.php?id=13512
Studies in European Society (Pg) A18/19,https://ble.soas.ac.uk/course/view.php?id=13517
Studies in Media and Communication (Pg) A18/19,https://ble.soas.ac.uk/course/view.php?id=13523
Studies in Media and Communications (Ug) A18/19,https://ble.soas.ac.uk/course/view.php?id=13595
Teaching English for Academic Purposes A18/19,https://ble.soas.ac.uk/course/view.php?id=13584
Understanding the Modern World/Academic English A18/19,https://ble.soas.ac.uk/course/view.php?id=13597
World Art (Ug) A18/19,https://ble.soas.ac.uk/course/view.php?id=13585
World History (Ug) A18/19,https://ble.soas.ac.uk/course/view.php?id=13590
World Literature (Ug) A18/19,https://ble.soas.ac.uk/course/view.php?id=13593
World Literature in London Block 2 3 weeks A18/19,https://ble.soas.ac.uk/course/view.php?id=13581
World Literature in London Block 3 3 weeks A18/19,https://ble.soas.ac.uk/course/view.php?id=13582
